scenario_name,variable,use_technology_fuel,country,scenario_group,scenario_variant,model,unit,time_resolution,timestamp,value
abroad-together,electricity_consumption_typical_day,elec_appliances,CH,cross202209,reference,seseth,GW,typical-day,01.02.2050 00:00,2.8133268
abroad-together,electricity_consumption_typical_day,battery_in,CH,cross202209,reference,seseth,GW,typical-day,01.02.2050 00:00,0
abroad-together,electricity_consumption_typical_day,phs_in,CH,cross202209,reference,seseth,GW,typical-day,01.02.2050 00:00,0
abroad-together,electricity_consumption_typical_day,road_public,CH,cross202209,reference,seseth,GW,typical-day,01.02.2050 00:00,1.166549693
abroad-together,electricity_consumption_typical_day,road_private,CH,cross202209,reference,seseth,GW,typical-day,01.02.2050 00:00,3.3674135
abroad-together,electricity_consumption_typical_day,truck,CH,cross202209,reference,seseth,GW,typical-day,01.02.2050 00:00,0
abroad-together,electricity_consumption_typical_day,ldv,CH,cross202209,reference,seseth,GW,typical-day,01.02.2050 00:00,0
abroad-together,electricity_consumption_typical_day,passenger_rail,CH,cross202209,reference,seseth,GW,typical-day,01.02.2050 00:00,0
abroad-together,electricity_consumption_typical_day,freight_rail,CH,cross202209,reference,seseth,GW,typical-day,01.02.2050 00:00,0
abroad-together,electricity_consumption_typical_day,space_heating_boiler_electrode,CH,cross202209,reference,seseth,GW,typical-day,01.02.2050 00:00,0
abroad-together,electricity_consumption_typical_day,space_heating_heater_elec,CH,cross202209,reference,seseth,GW,typical-day,01.02.2050 00:00,0
abroad-together,electricity_consumption_typical_day,space_heating_heat_pump,CH,cross202209,reference,seseth,GW,typical-day,01.02.2050 00:00,1.5694411
abroad-together,electricity_consumption_typical_day,process_heat_boiler_electrode,CH,cross202209,reference,seseth,GW,typical-day,01.02.2050 00:00,0
abroad-together,electricity_consumption_typical_day,process_heat_heater_elec,CH,cross202209,reference,seseth,GW,typical-day,01.02.2050 00:00,0.2592605
abroad-together,electricity_consumption_typical_day,process_heat_heat_pump,CH,cross202209,reference,seseth,GW,typical-day,01.02.2050 00:00,0
abroad-together,electricity_consumption_typical_day,electrolysis,CH,cross202209,reference,seseth,GW,typical-day,01.02.2050 00:00,0
abroad-together,electricity_consumption_typical_day,power_to_liquid,CH,cross202209,reference,seseth,GW,typical-day,01.02.2050 00:00,0
abroad-together,electricity_consumption_typical_day,exports,CH,cross202209,reference,seseth,GW,typical-day,01.02.2050 00:00,0
abroad-together,electricity_consumption_typical_day,grid_losses,CH,cross202209,reference,seseth,GW,typical-day,01.02.2050 00:00,0.66387343
abroad-together,electricity_consumption_typical_day,dac,CH,cross202209,reference,seseth,GW,typical-day,01.02.2050 00:00,0.090863444
abroad-together,electricity_supply_typical_day,methane_chp_woccs,CH,cross202209,reference,seseth,GW,typical-day,01.02.2050 00:00,0
abroad-together,electricity_supply_typical_day,methane_chp_ccs,CH,cross202209,reference,seseth,GW,typical-day,01.02.2050 00:00,0
abroad-together,electricity_supply_typical_day,methane_oc_woccs,CH,cross202209,reference,seseth,GW,typical-day,01.02.2050 00:00,0
abroad-together,electricity_supply_typical_day,methane_oc_ccs,CH,cross202209,reference,seseth,GW,typical-day,01.02.2050 00:00,0
abroad-together,electricity_supply_typical_day,methane_cc_woccs,CH,cross202209,reference,seseth,GW,typical-day,01.02.2050 00:00,0
abroad-together,electricity_supply_typical_day,methane_cc_ccs,CH,cross202209,reference,seseth,GW,typical-day,01.02.2050 00:00,0
abroad-together,electricity_supply_typical_day,liquids_chp_woccs,CH,cross202209,reference,seseth,GW,typical-day,01.02.2050 00:00,0
abroad-together,electricity_supply_typical_day,liquids_chp_ccs,CH,cross202209,reference,seseth,GW,typical-day,01.02.2050 00:00,0
abroad-together,electricity_supply_typical_day,liquids_oc_woccs,CH,cross202209,reference,seseth,GW,typical-day,01.02.2050 00:00,0
abroad-together,electricity_supply_typical_day,liquids_oc_ccs,CH,cross202209,reference,seseth,GW,typical-day,01.02.2050 00:00,0
abroad-together,electricity_supply_typical_day,liquids_cc_woccs,CH,cross202209,reference,seseth,GW,typical-day,01.02.2050 00:00,0
