id,level,id_parent,label_en,label_de,label_fr,explanation_en,tech
thermal,0,,Thermal power plants,Thermische,Thermique,,
methane_pp,1,thermal,"Methane (includes natural gas, biogas, biomethane) power plant",,,,
methane_chp,2,methane_pp,"Methane (includes natural gas, biogas, biomethane) CHP",,,,
methane_chp_woccs,3,methane_chp,"Methane (includes natural gas, biogas, biomethane) CHP without CCS",,,,1.0
methane_chp_ccs,3,methane_chp,"Methane (includes natural gas, biogas, biomethane) CHP with CCS",,,,1.0
methane_oc,2,methane_pp,"Methane (includes natural gas, biogas, biomethane) open cycle",,,,
methane_oc_woccs,3,methane_oc,"Methane (includes natural gas, biogas, biomethane) open cycle without CCS",,,,1.0
methane_oc_ccs,3,methane_oc,"Methane (includes natural gas, biogas, biomethane) open cycle with CCS",,,,1.0
methane_cc,2,methane_pp,"Methane (includes natural gas, biogas, biomethane) combined cycle",,,,
methane_cc_woccs,3,methane_cc,"Methane (includes natural gas, biogas, biomethane) combined cycle without CCS",,,,1.0
methane_cc_ccs,3,methane_cc,"Methane (includes natural gas, biogas, biomethane) combined cycle with CCS",,,,1.0
coal_pp,1,thermal,Coal power plant,,,,
coal_chp,2,coal_pp,Coal CHP,,,,
coal_chp_woccs,3,coal_chp,Coal CHP without CCS,,,,
coal_chp_ccs,3,coal_chp,Coal CHP with CCS,,,,
coal_oc,2,coal_pp,Coal open cycle,,,,
coal_oc_woccs,3,coal_oc,Coal open cycle without CCS,,,,
coal_oc_ccs,3,coal_oc,Coal open cycle with CCS,,,,
coal_cc,2,coal_pp,Coal combined cycle,,,,
coal_cc_woccs,3,coal_cc,Coal combined cycle without CCS,,,,
coal_cc_ccs,3,coal_cc,Coal combined cycle with CCS,,,,
liquids_pp,1,thermal,Liquid fuel power plant,,,,
liquids_chp,2,liquids_pp,Liquid fuel CHP,,,,
liquids_chp_woccs,3,liquids_chp,Liquid fuel CHP without CCS,,,,1.0
liquids_chp_ccs,3,liquids_chp,Liquid fuel CHP with CCS,,,,1.0
liquids_oc,2,liquids_pp,Liquid fuel open cycle,,,,
liquids_oc_woccs,3,liquids_oc,Liquid fuel open cycle without CCS,,,,1.0
liquids_oc_ccs,3,liquids_oc,Liquid fuel open cycle with CCS,,,,1.0
liquids_cc,2,liquids_pp,Liquid fuel combined cycle,,,,
liquids_cc_woccs,3,liquids_cc,Liquid fuel combined cycle without CCS,,,,1.0
liquids_cc_ccs,3,liquids_cc,Liquid fuel combined cycle with CCS,,,,1.0
hydrogen_pp,1,thermal,Hydrogen thermal power plant,,,,
hydrogen_chp,2,hydrogen_pp,Hydrogen CHP without CCS,,,,1.0
hydrogen_cc,2,hydrogen_pp,Hydrogen combined cycle without CCS,,,,1.0
wood_pp,1,thermal,Wood power plant,,,,
wood_chp,2,wood_pp,Wood CHP,,,,
wood_chp_woccs,3,wood_chp,Wood CHP without CCS,,,,1.0
wood_chp_ccs,3,wood_chp,Wood CHP with CCS,,,,1.0
wood_cc,2,wood_pp,Wood combined cycle,,,,
wood_cc_woccs,3,wood_cc,Wood combined cycle without CCS,,,,1.0
wood_cc_ccs,3,wood_cc,Wood combined cycle with CCS,,,,1.0
waste_pp,1,thermal,Waste incinerators,Kehrichtverbrennungsanlagen (KVA),Usines d'incinération des ordures ménagères (UIOM),,
waste_chp,2,waste_pp,Waste CHP,,,,
waste_chp_woccs,3,waste_chp,Waste CHP without CCS,,,,1.0
waste_chp_ccs,3,waste_chp,Waste CHP with CCS,,,,1.0
waste_cc,2,waste_pp,Waste combined cycle,,,,
waste_cc_woccs,3,waste_cc,Waste combined cycle without CCS,,,,1.0
waste_cc_ccs,3,waste_cc,Waste combined cycle with CCS,,,,1.0
nuclear,1,thermal,Nuclear,Kernkraftwerke,Nucléaire,,1.0
electrochemical,0,,Electrochemical,,,,
fuel_cell_h2,1,electrochemical,Fuel cell using hydrogen,,,,1.0
fuel_cell_methane,1,electrochemical,Fuel cell using methane,,,,1.0
renewable,0,,Renewables,Erneuerbare ,Énergies renouvelables,,
hydro,1,renewable,Hydopower (post-curtailment),Wasserkraftwerke,Centrales hydroélectriques,,
hydro_dam,2,hydro,Hydro Dams (post-curtailment),Speicherkraftwerke,Centrales d'accumulation,,1.0
hydro_ror,2,hydro,Run-off-river (post-curtailment),Laufwasserkraft,Centrales au fil de l'eau,,1.0
renewable_other,1,renewable,Other renewables,übrige Erneuerbare ,Autres énergies renouvelables,Renewables excluding biomass and hydropower,
spv,2,renewable_other,"Solar photovotaics (PV, post-curtailment)",Photovoltaik,Photovoltaïque,,
spv_rooftop,3,spv,Rooftop solar PV (post-curtailment),Aufdach Photovoltaik,Solaire en toiture,,1.0
spv_facade,3,spv,Facade solar PV (post-curtailment),Fassade Photovoltaik,Façade solaire,,1.0
spv_mountain,3,spv,Mountain solar PV (post-curtailment),Berg Photovoltaik,Solaire de montagne,,1.0
spv_agriculture,3,spv,Agricultural PV (post-curtailment),,,,1.0
wind,2,renewable,Wind,Windkraft,Énergie éolienne,,1.0
wind_on,3,wind,Wind onshore,,,,
wind_off,3,wind,Wind offshore,,,,
geothermal_pp,2,renewable,Geothermal,Geothermie,Géothermie,,1.0
imports,0,,Imports of electricity,,,,1.0
storage_elec,0,,Electricity storage,,,,
battery_out,1,storage_elec,Discharge of batteries,,,,1.0
phs_out,1,storage_elec,Discharge of pumped hydro storage,Pumpspeicher,Pompage-turbinage,,1.0
curtailment,0,,Curtailed electricity from any source,,,,1.0
