id,level,id_parent,label_en,label_de,label_fr,explanation_en,tech
thermal,0,,Thermal energy storage,,,,
thermal_short,1,thermal,Short-term thermal energy storage,,,,1.0
thermal_long,1,thermal,Long-term thermal energy storage,,,,1.0
h2,0,,Hydrogen storage,,,,
h2_short,1,h2,Short-term hydrogen storage,,,,1.0
h2_long,1,h2,Long-term hydrogen storage,,,,1.0
electricity,0,,Electricity storage,,,,
batteries,1,electricity,Battery storage,,,,1.0
phs,1,electricity,Pumped hydro storage,Pumpspeicher,Pompage-turbinage,,1.0
methane,0,,Methane storage,,,,1.0
liquid_fuels,0,,Liquid fuels storage,,,,1.0
waste,0,,Waste storage,,,,1.0
