id,level,id_parent,label_en,label_de,label_fr,explanation_en
elec_generation,0,,Liquid fuel for electricity generation,,,
storage,0,,Liquid fuels storage,,,
passenger,0,,Passenger liquid fuel vehicles,,,
passenger_road_public,1,passenger,Private passenger liquid fuel vehicles,,,
passenger_road_private,1,passenger,Public passenger liquid fuel vehicles,,,
freight_road,0,,Liquid fuel road freight,,,
truck,1,freight_road,Liquid fuel trucks,,,
ldv,1,freight_road,Liquid fuel light duty vehicles,,,
space_heating,0,,Liquid fuels used for space heating,,,
process_heat,0,,Liquid fuels used for process heat production,,,
fuel_synthesis,0,,Liquid fuels used for fuel synthesis,,,
exports,0,,Liquid fuel exports,,,
